,name,lr,gpu,time,alpha,block,decay,epoch,wandb,device,fc_out,m2_mlp,method,adjoint,augment,dataset,dropout,max_nfe,not_lcc,raytune,use_mlp,w_style,beta_dim,function,gcn_bias,gcn_symm,patience,alpha_dim,data_norm,gcn_fixed,max_iters,optimizer,rand_seed,step_size,tol_scale,add_source,batch_norm,gcn_params,hidden_dim,label_rate,num_splits,omega_diag,self_loops,time_dep_w,undirected,use_labels,gcn_enc_dec,gcn_non_lin,omega_style,w_diag_init,wandb_group,wandb_sweep,graff_params,omega_params,w_param_free,wandb_entity,XN_activation,input_dropout,target_homoph,w_diag_init_q,w_diag_init_r,wandb_offline,wandb_project,adjoint_method,gcn_params_idx,max_test_steps,wandb_run_name,conv_batch_norm,gcn_mid_dropout,geom_gcn_splits,planetoid_split,track_grad_flow,use_best_params,no_alpha_sigmoid,pointwise_nonlin,self_loop_weight,adjoint_step_size,time_dep_struct_w,tol_scale_adjoint,track_grad_flow_switch,graff_gcn_params,torch_save_model,torch_load_track_gf,ev_max,pred_homophil,label_homophil,RQXN,TN_DE,_step,T0r_DE,av_fwd,train_acc_mean,T0_DE,ev_av,TNr_DE,_timestamp,test_acc_std,test_acc_mean,enc_pred_homophil,TN_WDE,_wandb,ev_std,std_fwd,num_params,RQX0,T0_WDE,ev_min,_runtime,val_acc_mean,loss_mean
16,copper-sweep-92,0.005,0,4,1,constant,0.005,129,True,cpu,False,False,euler,False,False,cornell_old,0.35,1000,True,False,False,sum,sc,gcn_res_dgl,False,True,,sc,rw,True,100,adam,5389,1,1,False,False,"[5, 'gcn_res_dgl', True, True, True, False]",128,0.5,10,free,True,False,True,False,True,False,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,5,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.1587517261505127,0.9416553378105164,0.12821832299232483,16704.279296875,0.0,1.2048282623291016,0.006648307107388974,96.55172413793105,8464.7421875,0.0,0.12821832299232483,1681033044.897658,7.231939546086299,70.81081081081082,0.7788330912590027,0.0,{'runtime': 10},0.0,0.00033211122436486236,267396.0,1.2048282623291016,0.0,0.0,11.0075421333313,76.77966101694915,
187,hardy-sweep-152,0.005,0,4,1,constant,0.0005,129,True,cpu,False,False,euler,False,False,squirrel,0.35,1000,True,False,False,sum,sc,gcn_res_dgl,False,True,,sc,rw,True,100,adam,8106,1,1,False,False,"[5, 'gcn_res_dgl', True, True, True, False]",128,0.5,10,free,True,False,True,False,True,False,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,5,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,0.48733165860176086,0.464400976896286,0.08864174783229828,9882636.0,0.0,1.4189648628234863,0.30881865359842775,84.40705128205128,83979.34375,0.0,0.08864174783229828,1681002747.539486,2.1350946907194768,47.71373679154659,0.21556727588176727,0.0,{'runtime': 407},0.0,0.012003857095503266,316804.0,1.418964982032776,0.0,0.0,407.9047079086304,48.26322115384616,
76,woven-sweep-32,0.005,0,4,1,constant,0.05,129,True,cpu,False,False,euler,False,False,texas,0.35,1000,True,False,False,sum,sc,gcn_res_dgl,False,True,,sc,rw,True,100,adam,5303,1,1,False,False,"[5, 'gcn_res_dgl', True, True, True, False]",128,0.5,10,free,True,False,True,False,True,False,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,5,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,0.7206477522850037,0.5856950283050537,0.2437993288040161,12433.76953125,0.0,1.0902934074401855,0.00674161221832037,99.88505747126436,4976.546875,0.0,0.2437993437051773,1681031646.858857,3.636114607317221,74.86486486486486,1.5465587377548218,0.0,{'runtime': 10},0.0,0.00038429094916766766,267396.0,1.090293288230896,0.0,0.0,10.957435846328735,81.01694915254237,
40,classic-sweep-68,0.005,0,4,1,constant,0.05,129,True,cpu,False,False,euler,False,False,wisconsin,0.35,1000,True,False,False,sum,sc,gcn_res_dgl,False,True,,sc,rw,True,100,adam,854,1,1,False,False,"[5, 'gcn_res_dgl', True, True, True, False]",128,0.5,10,free,True,False,True,False,True,False,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,5,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,0.7593396902084351,0.7141615748405457,0.15223810076713562,12926.4599609375,0.0,1.1075087785720823,0.00772150382399559,99.5,6714.91015625,0.0,0.15223807096481323,1681032487.025367,4.401949866792872,73.72549019607844,1.4022588729858398,0.0,{'runtime': 11},0.0,0.00037342614626884887,267396.0,1.107508659362793,0.0,0.0,12.288876056671144,80.24999999999999,
158,proud-sweep-135,0.001,0,2,1,constant,0.0005,129,True,cpu,False,False,euler,False,False,Citeseer,0.35,1000,False,False,False,sum,sc,gcn_res_dgl,False,True,,sc,rw,True,100,adam,5794,1,1,False,False,"[6, 'gcn_res_dgl', True, True, True, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,6,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.7605985403060913,1.612581491470337,0.09721764922142027,1036656.75,0.0,0.4091189205646515,0.0760564886033535,94.15456044240392,47695.24609375,0.0,0.09721764922142027,1681039862.8802922,1.4926586997567572,76.75016998130205,0.7074249982833862,0.0,{'runtime': 100},0.0,0.011662367795994758,523396.0,0.4091189205646515,0.0,0.0,100.82101917266846,77.24776148298727,
267,sleek-sweep-21,0.001,0,2,1,constant,0.005,129,True,cpu,False,False,euler,False,False,Cora,0.35,1000,True,False,False,sum,sc,gcn_res_dgl,False,True,,sc,rw,True,100,adam,6462,1,1,False,False,"[6, 'gcn_res_dgl', True, True, True, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,6,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.7309672832489014,1.6853362321853638,0.08746197074651718,235545.109375,0.0,0.5527098178863525,0.029724561795592307,97.89429530201342,20882.376953125,0.0,0.08746197074651718,1680989991.813084,0.8772728111304495,85.57344064386318,0.609205424785614,0.0,{'runtime': 40},0.0,0.001478512322198242,232836.0,0.5527098178863525,0.0,0.0,43.09122681617737,86.13065326633166,
245,sleek-sweep-83,0.005,0,2,1,constant,0.0005,129,True,cpu,False,False,euler,False,False,Pubmed,0.35,1000,True,False,False,sum,sc,gcn_res_dgl,False,True,,sc,rw,True,100,adam,4922,1,1,False,False,"[6, 'gcn_res_dgl', True, True, True, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,6,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.804586410522461,1.6766853332519531,0.12199334055185318,6191372.5,0.0,0.7747925519943237,0.11213144455105066,89.23597167917151,33949.1328125,0.0,0.12199334055185318,1680993023.065655,0.5188546213770578,87.63184584178498,1.0842061042785645,0.0,{'runtime': 150},0.0,0.004397330843399883,113412.0,0.7747925519943237,0.0,0.0,150.5265030860901,87.79714738510303,
216,confused-sweep-119,0.005,0,2,1,constant,0.0005,129,True,cpu,False,False,euler,False,False,chameleon,0.35,1000,True,False,False,sum,sc,gcn_res_dgl,False,True,,sc,rw,True,100,adam,3385,1,1,False,False,"[6, 'gcn_res_dgl', True, True, True, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,6,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,0.6131438612937927,0.5137882828712463,0.13580872118473053,1517185.125,0.0,1.3636221885681152,0.05009380467236042,98.42490842490844,49712.46875,0.0,0.13580870628356934,1680998038.5057228,2.646612758811949,61.513157894736835,0.20126424729824063,0.0,{'runtime': 67},0.0,0.0019528539323619269,347012.0,1.3636220693588257,0.0,0.0,68.04372382164001,62.34567901234568,
3,frosty-sweep-105,0.001,0,2,1,constant,0.05,129,True,cpu,False,False,euler,False,False,cornell_old,0.35,1000,True,False,False,sum,sc,gcn_res_dgl,False,True,,sc,rw,True,100,adam,2144,1,1,False,False,"[6, 'gcn_res_dgl', True, True, True, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,6,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,1.0881954431533811,0.9416553378105164,0.30203977227211,11710.7265625,0.0,0.8040667772293091,0.004546655900776386,97.0114942528736,10353.05078125,0.0,0.3020397126674652,1681033347.906661,7.720463165992271,78.9189189189189,0.7082768082618713,0.0,{'runtime': 7},0.0,0.00034176087933444514,267396.0,0.8040667176246643,0.0,0.0,8.354975938796997,82.37288135593221,
184,usual-sweep-155,0.005,0,2,1,constant,0.0005,129,True,cpu,False,False,euler,False,False,squirrel,0.35,1000,True,False,False,sum,sc,gcn_res_dgl,False,True,,sc,rw,True,100,adam,721,1,1,False,False,"[6, 'gcn_res_dgl', True, True, True, True]",128,0.5,10,free,True,False,True,False,True,True,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,6,100,,False,False,True,False,False,False,False,False,,1,False,1,False,,,,0.0,0.46438106894493103,0.464400976896286,0.17844060063362122,20229156.0,0.0,1.0173301696777344,0.1529003784060478,88.74198717948717,200286.5625,0.0,0.1784406155347824,1681003614.800527,2.11597078228755,42.45917387127761,0.21180522441864016,0.0,{'runtime': 206},0.0,0.006239097841306319,316804.0,1.0173301696777344,0.0,0.0,207.30626320838928,42.932692307692314,
