gcn_params_idx,Texas,Wisconsin,Cornell,Film,Squirrel,Chameleon,Citeseer,Pubmed,Cora
0,69.54,68.0,72.18,32.4,69.58,90.2,88.68,88.78,93.36
5,99.08,99.08,99.2,,84.41,97.06,93.43,89.28,95.14
6,98.97,99.42,97.01,,82.42,97.02,94.15,89.46,95.07
