,name,lr,gpu,time,alpha,block,decay,epoch,wandb,device,fc_out,m2_mlp,method,adjoint,augment,dataset,dropout,max_nfe,not_lcc,raytune,use_mlp,w_style,beta_dim,function,gcn_bias,gcn_symm,patience,alpha_dim,data_norm,gcn_fixed,max_iters,optimizer,rand_seed,step_size,tol_scale,add_source,batch_norm,gcn_params,hidden_dim,label_rate,num_splits,omega_diag,self_loops,time_dep_w,undirected,use_labels,gcn_enc_dec,gcn_non_lin,omega_style,w_diag_init,wandb_group,wandb_sweep,graff_params,omega_params,w_param_free,wandb_entity,XN_activation,input_dropout,target_homoph,w_diag_init_q,w_diag_init_r,wandb_offline,wandb_project,adjoint_method,gcn_params_idx,max_test_steps,omega_diag_val,wandb_run_name,conv_batch_norm,gcn_mid_dropout,geom_gcn_splits,planetoid_split,track_grad_flow,use_best_params,graff_gcn_params,no_alpha_sigmoid,pointwise_nonlin,self_loop_weight,adjoint_step_size,time_dep_struct_w,tol_scale_adjoint,track_grad_flow_switch,torch_save_model,torch_load_track_gf,test_acc_std,num_params,RQX0,_runtime,TNr_DE,TN_WDE,pred_homophil,TN_DE,ev_std,T0_WDE,_step,gf_table,T0r_DE,av_fwd,ev_av,train_acc_mean,std_fwd,label_homophil,ev_max,test_acc_mean,val_acc_mean,_timestamp,T0_DE,W_evecs,enc_pred_homophil,W_evals,ev_skew,_wandb,RQXN,ev_min,gf_table_t_2,loss_mean
6,happy-sweep-2,0.001,0,2,1,constant,0.005,201,True,cpu,False,False,euler,False,False,Citeseer,0.35,1000,False,False,False,sum,sc,graff,False,False,,sc,rw,False,100,adam,6330,1,1,False,False,,128,0.5,10,none,True,False,True,False,False,False,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,1,100,0,,False,False,True,False,True,simple_lin,"[1, 'zero', 'none', 0, False, 'sum', False, True]",False,False,,1,False,1,True,,,1.5272205459769133,491274,0.5488368272781372,198.98983788490295,0.16100242733955383,-363179.84375,1.795672059059143,37167.5,0.8784389495849609,-8934.7509765625,2,"{'artifact_path': 'wandb-client-artifact://nf5dkwvpibunpvsa04gazhiw9iq911nv2yo00lwy8cuacl6vhwi7gdz9u4nm7xtvkk0m5ujkl4wudr6anuulva2lagr3nrlx92xmbzba21hbt8g8b93tcg20mh9ya6c9:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://nf5dkwvpibunpvsa04gazhiw9iq911nv2yo00lwy8cuacl6vhwi7gdz9u4nm7xtvkk0m5ujkl4wudr6anuulva2lagr3nrlx92xmbzba21hbt8g8b93tcg20mh9ya6c9:latest/gf_table.table.json', 'path': 'media/table/gf_table_1_3abaa60e5316f88d3dae.table.json', 'size': 374, '_type': 'table-file', 'ncols': 6, 'nrows': 3, 'sha256': '3abaa60e5316f88d3dae0fbffac330953e8a1643b13e6398d4a987e463647da5'}",0.5488368272781372,0.09202139151096345,0.12902402877807617,89.74423521931672,0.013726217645226475,1.612581491470337,4.104859352111816,76.42628477534139,77.34847573412986,1681822599.515111,4749.53076171875,"{'_type': 'histogram', 'bins': [-0.436027854681015, -0.4107760488986969, -0.3855242133140564, -0.3602724075317383, -0.33502060174942017, -0.30976876616477966, -0.28451696038246155, -0.25926515460014343, -0.23401333391666412, -0.20876151323318481, -0.1835097074508667, -0.1582578867673874, -0.13300606608390808, -0.10775426030158997, -0.08250243961811066, -0.057250626385211945, -0.03199881315231323, -0.006746998056769371, 0.01850481703877449, 0.0437566339969635, 0.06900844722986221, 0.09426026046276093, 0.11951208114624023, 0.14476388692855835, 0.17001570761203766, 0.19526752829551697, 0.22051933407783508, 0.2457711547613144, 0.2710229754447937, 0.2962747812271118, 0.32152658700942993, 0.34677842259407043, 0.37203022837638855], 'values': [1, 1, 0, 5, 7, 8, 23, 43, 74, 141, 289, 467, 678, 1028, 1364, 1628, 1906, 1906, 1777, 1474, 1230, 941, 581, 344, 233, 113, 61, 28, 17, 9, 4, 3]}",0.7482905387878418,"{'values': [3, 5, 11, 13, 14, 17, 17, 15, 12, 11, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2], '_type': 'histogram', 'bins': [-0.48130348324775696, -0.4021243155002594, -0.32294514775276184, -0.24376599490642548, -0.1645868420600891, -0.08540767431259155, -0.00622851587831974, 0.07295064628124237, 0.15212979912757874, 0.2313089668750763, 0.31048813462257385, 0.3896673023700714, 0.4688464403152466, 0.5480256080627441, 0.6272047758102417, 0.7063839435577393, 0.7855631113052368, 0.8647422790527344, 0.9439214468002319, 1.0231006145477295, 1.102279782295227, 1.1814589500427246, 1.2606381177902222, 1.3398171663284302, 1.4189963340759277, 1.4981755018234253, 1.5773546695709229, 1.6565338373184204, 1.735713005065918, 1.8148921728134155, 1.894071340560913, 1.9732505083084106, 2.052429676055908]}",6.071590423583984,{'runtime': 198},0.16100239753723145,-0.962606966495514,,
5,absurd-sweep-3,0.005,0,2,1,constant,0.0005,201,True,cpu,False,False,euler,False,False,Pubmed,0.35,1000,True,False,False,sum,sc,graff,False,False,,sc,rw,False,100,adam,9772,1,1,False,False,,128,0.5,10,none,True,False,True,False,False,False,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,1,100,0,,False,False,True,False,True,simple_lin,"[1, 'zero', 'none', 0, False, 'sum', False, True]",False,False,,1,False,1,True,,,0.5082390843962203,80903,0.8182847499847412,1540.5971400737762,0.2893774211406708,-1565027.875,1.839948296546936,119517.9375,1.2624423503875732,4414.7470703125,2,"{'path': 'media/table/gf_table_1_3fa49c3484da10b42c83.table.json', 'size': 361, '_type': 'table-file', 'ncols': 6, 'nrows': 3, 'sha256': '3fa49c3484da10b42c833f67bb96fe6c4d58017bee44fd446dcabad6982a7d65', 'artifact_path': 'wandb-client-artifact://65yjdm4ngpe5bbo7wgcauejpnog9k5uvj3snsjbuhcgcwdeq9x3uj3o3oy98pk0gnnz4qnv4f7n0gxhb4vshkvmoo8pra4utz7vblubreujunn9zqkgw4vgqxo5n066i:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://65yjdm4ngpe5bbo7wgcauejpnog9k5uvj3snsjbuhcgcwdeq9x3uj3o3oy98pk0gnnz4qnv4f7n0gxhb4vshkvmoo8pra4utz7vblubreujunn9zqkgw4vgqxo5n066i:latest/gf_table.table.json'}",0.8182847499847412,0.20167303574085235,0.14596262574195862,90.47659304660256,0.009987068958907252,1.6766853332519531,9.46710205078125,88.56490872210954,88.98415213946119,1681824159.103822,5736.83203125,"{'values': [3, 1, 8, 8, 26, 34, 65, 110, 193, 375, 556, 854, 1239, 1692, 2238, 2282, 2069, 1575, 1112, 757, 501, 305, 175, 94, 57, 28, 12, 5, 4, 2, 3, 1], '_type': 'histogram', 'bins': [-0.4200117588043213, -0.392663836479187, -0.36531591415405273, -0.33796799182891846, -0.3106200695037842, -0.2832721471786499, -0.2559242248535156, -0.22857630252838135, -0.20122838020324707, -0.1738804429769516, -0.14653252065181732, -0.11918460577726364, -0.09183667600154877, -0.06448875367641449, -0.03714083135128021, -0.00979290995746851, 0.017555013298988342, 0.04490293562412262, 0.0722508579492569, 0.09959878027439117, 0.12694670259952545, 0.15429462492465973, 0.181642547249794, 0.20899046957492828, 0.23633840680122375, 0.26368632912635803, 0.2910342514514923, 0.3183821737766266, 0.34573009610176086, 0.37307801842689514, 0.4004259407520294, 0.4277738630771637, 0.455121785402298]}",1.9445946216583252,"{'bins': [-1.946091651916504, -1.7373528480529785, -1.5286140441894531, -1.3198751211166382, -1.1111363172531128, -0.9023975133895874, -0.6936586499214172, -0.48491981625556946, -0.2761809825897217, -0.0674421489238739, 0.14129668474197388, 0.35003551840782166, 0.5587743520736694, 0.7675131559371948, 0.976252019405365, 1.1849908828735352, 1.3937296867370605, 1.602468490600586, 1.8112072944641113, 2.0199460983276367, 2.228684902191162, 2.4374239444732666, 2.646162748336792, 2.8549015522003174, 3.0636403560638428, 3.272379159927368, 3.4811179637908936, 3.689856767654419, 3.8985958099365234, 4.107334613800049, 4.316073417663574, 4.5248122215271, 4.733551025390625], 'values': [1, 0, 0, 0, 0, 0, 0, 4, 32, 72, 15, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1], '_type': 'histogram'}",9.986305236816406,{'runtime': 1540},0.2893774211406708,-3.892183303833008,,
0,spring-sweep-8,0.005,0,2,1,constant,0.05,201,True,cpu,False,False,euler,False,False,cornell_old,0.35,1000,True,False,False,sum,sc,graff,False,False,,sc,rw,False,100,adam,9758,1,1,False,False,,128,0.5,10,none,True,False,True,False,False,False,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,1,100,0,,False,False,True,False,True,simple_lin,"[1, 'zero', 'none', 0, False, 'sum', False, True]",False,False,,1,False,1,True,,,7.130219436904279,235145,1.3483942747116089,11.831878185272217,0.907132625579834,-1994.099365234375,1.0990501642227173,4931.91162109375,0.19215978682041168,-180.47320556640625,2,"{'sha256': 'd299ed580a2aa32ed81f5f389aedd89969ea2111f5f936e962a1bb92bfa62235', 'artifact_path': 'wandb-client-artifact://ivxrw94j8q8xy52v0owu5drgge41kqo72x743mx6eb1bx1zv9fjb3jfxfn8k00mep072xfekltow9bsci5e4dyfbyi64nf21m25lji9mvcdmw5a4z9rr9pze2kmmw5vc:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://ivxrw94j8q8xy52v0owu5drgge41kqo72x743mx6eb1bx1zv9fjb3jfxfn8k00mep072xfekltow9bsci5e4dyfbyi64nf21m25lji9mvcdmw5a4z9rr9pze2kmmw5vc:latest/gf_table.table.json', 'path': 'media/table/gf_table_1_d299ed580a2aa32ed81f.table.json', 'size': 380, '_type': 'table-file', 'ncols': 6, 'nrows': 3}",1.3483941555023191,0.0043372161388397215,0.016899507492780685,99.65517241379312,0.00029554221990474446,0.9416553378105164,1.366195559501648,72.43243243243244,84.74576271186442,1681826380.2158651,3686.802001953125,"{'bins': [-0.8574454188346863, -0.8094881176948547, -0.761530876159668, -0.7135735750198364, -0.6656163334846497, -0.6176590323448181, -0.5697017312049866, -0.5217444896697998, -0.47378718852996826, -0.4258299171924591, -0.37787264585494995, -0.3299153745174408, -0.28195810317993164, -0.2340008169412613, -0.18604354560375214, -0.1380862593650818, -0.09012898802757263, -0.04217170923948288, 0.005785565823316574, 0.05374284088611603, 0.10170011967420578, 0.14965739846229553, 0.1976146697998047, 0.24557195603847504, 0.293529212474823, 0.34148651361465454, 0.3894437849521637, 0.43740105628967285, 0.485358327627182, 0.5333155989646912, 0.5812729001045227, 0.6292301416397095, 0.677187442779541], 'values': [1, 0, 0, 0, 1, 4, 1, 4, 0, 5, 14, 32, 63, 229, 579, 1279, 2175, 4658, 3602, 1928, 1052, 486, 189, 44, 16, 8, 6, 2, 1, 2, 1, 2], '_type': 'histogram'}",0.6648575067520142,"{'bins': [-0.37908226251602173, -0.345889151096344, -0.31269600987434387, -0.27950286865234375, -0.24630975723266602, -0.2131166309118271, -0.17992350459098816, -0.14673037827014923, -0.1135372519493103, -0.08034412562847137, -0.047150999307632446, -0.013957872986793518, 0.01923525333404541, 0.05242837965488434, 0.08562150597572327, 0.1188146322965622, 0.15200775861740112, 0.18520088493824005, 0.21839401125907898, 0.2515871524810791, 0.28478026390075684, 0.31797337532043457, 0.3511665165424347, 0.3843596577644348, 0.41755276918411255, 0.4507458806037903, 0.4839390218257904, 0.5171321630477905, 0.5503252744674683, 0.583518385887146, 0.6167114973068237, 0.6499046683311462, 0.683097779750824], 'values': [1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 10, 103, 6, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1], '_type': 'histogram'}",7.713103771209717,{'runtime': 11},0.907132625579834,-0.7581645250320435,,
8,flowing-sweep-1,0.001,0,2,1,constant,0.005,201,True,cpu,False,False,euler,False,False,film,0.35,1000,True,False,False,sum,sc,graff,False,False,,sc,rw,False,100,adam,9086,1,1,False,False,,128,0.5,10,none,True,False,True,False,False,False,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,1,100,0,,False,False,True,False,True,simple_lin,"[1, 'zero', 'none', 0, False, 'sum', False, True]",False,False,,1,False,1,False,False,False,0.9019638469270468,136457,1.0963599681854248,251.56728196144104,0.7134308815002441,-8612.484375,0.8792147040367126,12223.580078125,0.5224586129188538,-679.870361328125,2,,1.0963599681854248,0.1226775003671646,0.060463279485702515,50.413925438596486,0.009749862250397909,0.628911018371582,3.3331384658813477,34.1578947368421,35.85115131578947,1682097197.049742,7459.6591796875,"{'_type': 'histogram', 'bins': [-0.3953458070755005, -0.37182363867759705, -0.3483014702796936, -0.32477930188179016, -0.3012571334838867, -0.2777349650859833, -0.25421279668807983, -0.2306906282901764, -0.20716845989227295, -0.1836462914943695, -0.16012412309646606, -0.13660195469856262, -0.11307978630065918, -0.08955761790275574, -0.0660354495048523, -0.04251328110694885, -0.01899111270904541, 0.004531055688858032, 0.028053224086761475, 0.05157539248466492, 0.07509756088256836, 0.0986197292804718, 0.12214189767837524, 0.1456640660762787, 0.16918623447418213, 0.19270840287208557, 0.216230571269989, 0.23975273966789246, 0.2632749080657959, 0.28679707646369934, 0.3103192448616028, 0.3338414132595062, 0.35736358165740967], 'values': [1, 3, 0, 6, 9, 22, 38, 70, 159, 271, 414, 662, 912, 1181, 1483, 1638, 1742, 1767, 1560, 1249, 1055, 778, 553, 357, 211, 122, 63, 30, 16, 8, 3, 1]}",0.598312497138977,"{'bins': [-0.7266290783882141, -0.6518416404724121, -0.5770542025566101, -0.5022667646408081, -0.4274792969226837, -0.3526918292045593, -0.2779043912887573, -0.20311695337295532, -0.12832950055599213, -0.05354205518960953, 0.02124539390206337, 0.09603284299373627, 0.17082029581069946, 0.24560773372650146, 0.32039517164230347, 0.39518263936042786, 0.46997007727622986, 0.5447575449943542, 0.6195449829101562, 0.6943324208259583, 0.7691198587417603, 0.8439072966575623, 0.9186947345733643, 0.993482232093811, 1.0682696104049683, 1.143057107925415, 1.2178446054458618, 1.292631983757019, 1.3674194812774658, 1.442206859588623, 1.5169943571090698, 1.591781735420227, 1.6665692329406738], '_type': 'histogram', 'values': [1, 0, 0, 0, 0, 0, 1, 4, 28, 43, 37, 9, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]}",9.077166557312012,{'runtime': 250},0.7134308815002441,-1.4532581567764282,"{'nrows': 3, 'sha256': 'bc6acdd2da16b9d3a29453c68e184bfcf5f125a8481ec7207572a8a01d1e1033', 'artifact_path': 'wandb-client-artifact://mt9o0uldjxbj2n08se5pgfqmw6pns4mf9kthdrrn79xwfu6t60ea4a9jpp8r5r40wwdr0i1neaj9xi342qkilhlaaxq0yaeo7qc4jsqzghqdushc5nkap5g7v7tbii7c:latest/gf_table_t_2.table.json', '_latest_artifact_path': 'wandb-client-artifact://mt9o0uldjxbj2n08se5pgfqmw6pns4mf9kthdrrn79xwfu6t60ea4a9jpp8r5r40wwdr0i1neaj9xi342qkilhlaaxq0yaeo7qc4jsqzghqdushc5nkap5g7v7tbii7c:latest/gf_table_t_2.table.json', 'path': 'media/table/gf_table_t_2_1_bc6acdd2da16b9d3a294.table.json', 'size': 488, '_type': 'table-file', 'ncols': 9}",1.2866243958473205
2,bright-sweep-6,0.005,0,2,1,constant,0.005,201,True,cpu,False,False,euler,False,False,texas,0.35,1000,True,False,False,sum,sc,graff,False,False,,sc,rw,False,100,adam,1114,1,1,False,False,,128,0.5,10,none,True,False,True,False,False,False,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,1,100,0,,False,False,True,False,True,simple_lin,"[1, 'zero', 'none', 0, False, 'sum', False, True]",False,False,,1,False,1,True,,,4.52248662991392,235145,1.6813623905181885,17.709339141845703,1.670730471611023,-16662.33203125,0.6450742483139038,42673.98046875,0.4639394283294678,1129.259521484375,2,"{'sha256': '2ccc3f5814a8336b7f720af3f49c938724fbcf83bd11a3597c4aa6b2a29eb2b6', 'artifact_path': 'wandb-client-artifact://5b2js8kai9315r6kyq7epp7xyodpv0jcljinf4woigdz5sdqv12euv57khflmpg3nrzqxloyrkjfk3iwchvl695nkeroows5bckerf8rc45vynp45t11kd2a04ltlrlc:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://5b2js8kai9315r6kyq7epp7xyodpv0jcljinf4woigdz5sdqv12euv57khflmpg3nrzqxloyrkjfk3iwchvl695nkeroows5bckerf8rc45vynp45t11kd2a04ltlrlc:latest/gf_table.table.json', 'path': 'media/table/gf_table_1_2ccc3f5814a8336b7f72.table.json', 'size': 371, '_type': 'table-file', 'ncols': 6, 'nrows': 3}",1.681362509727478,0.0043543391227722165,-0.01511975284665823,100.0,0.0003027693539354184,0.5856950283050537,2.068274736404419,81.08108108108108,87.45762711864408,1681826319.318808,13171.423828125,"{'bins': [-0.4537138044834137, -0.42776498198509216, -0.401816189289093, -0.3758673667907715, -0.34991854429244995, -0.3239697515964508, -0.2980209290981293, -0.27207210659980774, -0.2461233139038086, -0.22017449140548706, -0.19422568380832672, -0.16827687621116638, -0.14232805371284485, -0.11637924611568451, -0.09043043106794357, -0.06448162347078323, -0.0385328084230423, -0.012583996169269085, 0.013364816084504128, 0.039313629269599915, 0.06526243686676025, 0.09121125191450119, 0.11716006696224213, 0.14310887455940247, 0.169057697057724, 0.19500650465488434, 0.22095531225204468, 0.24690411984920502, 0.27285292744636536, 0.2988017499446869, 0.3247505724430084, 0.35069936513900757, 0.3766481876373291], 'values': [1, 1, 1, 2, 5, 10, 14, 29, 85, 140, 270, 403, 596, 906, 1258, 1645, 1894, 2030, 1964, 1602, 1255, 910, 566, 357, 211, 121, 47, 32, 16, 7, 4, 2], '_type': 'histogram'}",0.5748987793922424,"{'_type': 'histogram', 'bins': [-1.5348414182662964, -1.4545608758926392, -1.3742802143096924, -1.2939996719360352, -1.213719129562378, -1.1334384679794312, -1.053157925605774, -0.9728773236274719, -0.8925967216491699, -0.8123161196708679, -0.7320355176925659, -0.6517549753189087, -0.5714743733406067, -0.4911937713623047, -0.4109131991863251, -0.33063262701034546, -0.25035202503204346, -0.17007143795490265, -0.08979085087776184, -0.009510263800621033, 0.07077032327651978, 0.15105091035366058, 0.2313314974308014, 0.311612069606781, 0.391892671585083, 0.472173273563385, 0.552453875541687, 0.6327344179153442, 0.7130150198936462, 0.7932956218719482, 0.8735761642456055, 0.9538567662239075, 1.0341373682022095], 'values': [1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 5, 40, 68, 5, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1]}",-4.560265064239502,{'runtime': 16},1.6707305908203125,-3.0696828365325928,,
1,swept-sweep-7,0.005,0,2,1,constant,0.05,201,True,cpu,False,False,euler,False,False,wisconsin,0.35,1000,True,False,False,sum,sc,graff,False,False,,sc,rw,False,100,adam,4941,1,1,False,False,,128,0.5,10,none,True,False,True,False,False,False,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,1,100,0,,False,False,True,False,True,simple_lin,"[1, 'zero', 'none', 0, False, 'sum', False, True]",False,False,,1,False,1,True,,,4.454045761411979,235145,1.3318761587142944,15.188103914260864,0.7075589895248413,-3852.98095703125,0.7523892521858215,6766.611328125,0.17761152982711792,-511.4405822753906,2,"{'artifact_path': 'wandb-client-artifact://wr3s5n05r9eo63alh2z8p1zrop8d7q7hbqeypz1k39zhght4a9eud72k76mgyusduuqtka1ggbrl0i3u6p7da7qvragbufzxx53fhrjofzxhbdvqae3w5sawdd4zs4dm:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://wr3s5n05r9eo63alh2z8p1zrop8d7q7hbqeypz1k39zhght4a9eud72k76mgyusduuqtka1ggbrl0i3u6p7da7qvragbufzxx53fhrjofzxhbdvqae3w5sawdd4zs4dm:latest/gf_table.table.json', 'path': 'media/table/gf_table_1_e88d59397d4323db0b7a.table.json', 'size': 376, '_type': 'table-file', 'ncols': 6, 'nrows': 3, 'sha256': 'e88d59397d4323db0b7a69da6316c4232da40efc12affbd144146df0461af9c1'}",1.3318760395050049,0.005481429576873779,0.015960704535245895,99.25,0.00037213299577827945,0.7141615748405457,1.3285263776779177,81.96078431372548,86.75,1681826351.22842,5366.92919921875,"{'values': [1, 4, 1, 1, 10, 15, 53, 148, 333, 702, 1375, 2359, 3970, 3339, 2045, 1174, 511, 194, 92, 35, 13, 3, 1, 3, 0, 0, 1, 0, 0, 0, 0, 1], '_type': 'histogram', 'bins': [-0.5622512698173523, -0.518403947353363, -0.47455665469169617, -0.4307093322277069, -0.38686203956604004, -0.3430147171020508, -0.2991674244403839, -0.25532010197639465, -0.2114727944135666, -0.16762548685073853, -0.12377817928791046, -0.0799308642745018, -0.03608355671167374, 0.007763752713799477, 0.05161106213927269, 0.09545837342739105, 0.13930568099021912, 0.18315298855304718, 0.22700029611587524, 0.2708476185798645, 0.31469491124153137, 0.35854223370552063, 0.4023895263671875, 0.44623684883117676, 0.490084171295166, 0.5339314937591553, 0.5777787566184998, 0.621626079082489, 0.6654734015464783, 0.7093207240104675, 0.753167986869812, 0.7970153093338013, 0.8408626317977905]}",0.5682015419006348,"{'_type': 'histogram', 'bins': [-0.4079835116863251, -0.3744758069515228, -0.3409681022167206, -0.30746039748191833, -0.2739526629447937, -0.24044495820999146, -0.2069372534751892, -0.17342954874038696, -0.13992184400558472, -0.10641412436962128, -0.07290641963481903, -0.03939870744943619, -0.005890998989343643, 0.0276167094707489, 0.061124421656131744, 0.09463212639093399, 0.12813983857631683, 0.16164754331111908, 0.19515526294708252, 0.22866296768188477, 0.262170672416687, 0.29567837715148926, 0.3291860818862915, 0.36269381642341614, 0.3962015211582184, 0.42970922589302063, 0.4632169306278229, 0.4967246353626251, 0.5302323698997498, 0.563740074634552, 0.5972477793693542, 0.6307554841041565, 0.6642631888389587], 'values': [1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 24, 95, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]}",7.714184761047363,{'runtime': 14},0.7075589895248413,-0.8159670233726501,,
7,lemon-sweep-1,0.001,0,4,1,constant,0.05,201,True,cpu,False,False,euler,False,False,Cora,0.35,1000,True,False,False,sum,sc,graff,False,False,,sc,rw,False,100,adam,660,1,1,False,False,,128,0.5,10,none,True,False,True,False,False,False,zero,uniform,testing,True,,,True,graph_neural_diffusion,True,0.5,0.80,1,0,False,greed,adaptive_heun,1,100,0,,False,False,True,False,True,simple_lin,"[1, 'zero', 'none', 0, False, 'sum', False, True]",False,False,,1,False,1,True,,,0.974142328926374,200843,0.5725356936454773,121.399090051651,0.11336740851402284,-291423.96875,1.7804008722305298,33700.5,0.5041518807411194,-1459.9566650390625,2,"{'sha256': '60334aacda9ce7f4499c19a61ac4a642655ac21adc6ce533a8cf5716b3f9ec48', 'artifact_path': 'wandb-client-artifact://a0v9tvxrka94chcuszxhlapkzhmwe21p9jzrb275l2j2tppriemj9x2j0pm2d79rmq2kpa11f3i7pdjp4tsf5h6y5j9dcqpg0tgtoyz5l3cpj7hnzfxb385pta9bseeu:latest/gf_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://a0v9tvxrka94chcuszxhlapkzhmwe21p9jzrb275l2j2tppriemj9x2j0pm2d79rmq2kpa11f3i7pdjp4tsf5h6y5j9dcqpg0tgtoyz5l3cpj7hnzfxb385pta9bseeu:latest/gf_table.table.json', 'path': 'media/table/gf_table_1_60334aacda9ce7f4499c.table.json', 'size': 576, '_type': 'table-file', 'ncols': 6, 'nrows': 5}",0.5725356936454773,0.057052218914031984,0.10646498203277588,95.84731543624162,0.002551891848140007,1.6853362321853638,2.485769033432007,87.40442655935612,88.4924623115578,1681822386.999327,1226.26220703125,"{'_type': 'histogram', 'bins': [-0.44652169942855835, -0.42051073908805847, -0.3944997489452362, -0.36848878860473633, -0.34247782826423645, -0.3164668381214142, -0.2904558777809143, -0.26444491744041443, -0.23843392729759216, -0.21242296695709229, -0.1864119917154312, -0.16040101647377014, -0.13439005613327026, -0.10837908089160919, -0.08236811310052872, -0.056357141584157944, -0.03034617006778717, -0.004335199482738972, 0.021675771102309227, 0.04768674075603485, 0.07369771599769592, 0.0997086837887764, 0.12571965157985687, 0.15173062682151794, 0.17774158716201782, 0.2037525624036789, 0.22976353764533997, 0.25577449798583984, 0.2817854881286621, 0.307796448469162, 0.33380740880966187, 0.35981839895248413, 0.385829359292984], 'values': [1, 0, 0, 1, 6, 11, 22, 44, 71, 160, 287, 489, 716, 1082, 1373, 1706, 1945, 1973, 1852, 1561, 1073, 808, 525, 314, 180, 84, 59, 22, 12, 2, 3, 2]}",0.7296205163002014,"{'bins': [-0.1324087530374527, -0.08943083882331848, -0.046452924609184265, -0.003475008998066187, 0.03950290381908417, 0.08248081803321838, 0.1254587322473526, 0.16843664646148682, 0.21141456067562103, 0.25439247488975525, 0.29737040400505066, 0.3403483033180237, 0.3833262324333191, 0.4263041317462921, 0.4692820608615875, 0.5122599601745605, 0.555237889289856, 0.5982158184051514, 0.641193687915802, 0.6841716170310974, 0.7271495461463928, 0.7701274752616882, 0.8131053447723389, 0.8560832738876343, 0.8990612030029297, 0.9420391321182251, 0.9850170016288757, 1.027994990348816, 1.0709728002548218, 1.1139507293701172, 1.1569286584854126, 1.199906587600708, 1.2428845167160034], 'values': [12, 23, 26, 26, 21, 12, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 2, 1], '_type': 'histogram'}",7.235720157623291,{'runtime': 120},0.11336742341518402,-0.2648175060749054,,
